4,4,4,4,4,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,6,4,4,4,4,5,4,4,4,4,4,4,4,4,4,6,4,6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4
4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,6,4,4,6,4
4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4,4,4,6,4,4,4,6,10,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,10,4,4,8,4,4,4,5
4,4,4,4,4,4,4,4,4,6,4,4,6,4,4,4,4,8,4,4,4,4,4,6,4,4,5,4,4,4,6,4,4,4,4,4,4
4,4,4,4,4,6,6,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,6
4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,6,4,4,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,8,4
4,4,6,4,4,4,6,4,4,4,4,4,4,5,4,4,4,4,4,6,4,4,6,4,4,6,4,4,4,4,4,4,4,4,4,4,6
4,4,4,4,4,4,4,4,6,4,4,4,6,4,4,6,4,4,4,4,4,4,4,6,4,4,4,4,4,6,4,4,4,4,6,4,4
4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,6,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4,4,4,6,4,4,4,4,6,4,4,4,4,4,5,6
4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,6,4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,5,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,4,6,4
6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,5,4,4,8,4,6,6,4,4,4,6,4,4,4,4,4,4,4,4,4,6
6,6,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,8,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,6,4,4,6,5,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4
4,4,4,4,6,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,6,4,4
4,4,4,6,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,8,4,4,4,4,5,4,4,4,4,4,4,4
4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,8,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,6,4,4,4,4,4,4,6,4,4,6,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4
6,4,6,4,4,4,4,4,4,4,4,6,6,4,4,6,4,4,4,8,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,6,4,4,4,5,4,4,4,4,4,6,4,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,4,4,4,6,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
6,4,4,4,4,6,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4,4,4,6
6,4,4,4,4,6,4,4,4,4,4,4,6,4,4,6,6,4,4,4,4,4,4,4,4,4,6,4,4,4,12,4,8,4,4,4,4
4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4
4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6,4,4
6,4,4,6,4,4,6,4,4,4,4,6,4,4,4,6,4,4,4,4,4,6,4,4,4,6,4,4,4,6,4,4,4,4,4,4,6
4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,7,4,4,4,4,4,4,4
4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,6,4,6,6
4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,5,4,6,8,4,4,4,4,4,4
4,4,6,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6,6,4
6,4,4,4,4,4,4,5,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4
4,4,4,4,6,4,4,4,4,6,4,4,4,4,4,4,4,4,6,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4
6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,6,4,4,4,4,4,6,8,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,6,4,8,4,4,4,4
4,4,4,4,6,4,4,4,4,4,4,4,8,4,4,4,4,4,7,4,4,4,4,4,4,4,6,8,4,4,4,4,4,6,4,4,4
4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4
4,4,4,4,4,4,6,4,4,4,4,4,4,7,6,4,4,4,6,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,5
4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4
6,4,4,4,4,4,4,6,4,4,4,4,6,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,6,4,4,4,4,6,4,4,4,4,4,6
4,4,4,4,4,4,4,4,4,4,6,6,6,4,4,4,4,4,4,6,4,4,4,8,4,4,4,4,6,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,6,4,6,4,4,4,6,4,6,4,5,4,4,4,4,4,4,4,4,4,5,8,4,4,4,4,6,4
4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,6,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,6,4,7,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,6,4,4,4,4,4,4
